test_id,area,persona,expected,actual,status,build_sha,deployment_url,evidence_or_bug
ENV-01,Environment,qa-admin,Staging preflight passes with sandbox and isolated resources,,,,,
AUTH-ADM-01,Authorization,qa-attacker,Super-admin routes return denial and expose no admin data,,,,,
SEC-TEN-01,Tenant isolation,qa-attacker,Reading or mutating qa-free tenant is denied,,,,,
PKG-F-PHOTO-01,Free limit,qa-free,Photo 50 succeeds and photo 51 is rejected without orphaned Cloudinary asset,,,,,
PKG-F-HERO-01,Free limit,qa-free,Hero 1 succeeds and hero 2 is rejected,,,,,
PKG-F-CONTENT-01,Free limit,qa-free,Fourth category gallery and blog are rejected,,,,,
PKG-F-THEME-01,Free theme,qa-free,Premium themes cannot be applied,,,,,
PKG-PLUS-01,Plus limits,qa-plus,Configured Plus boundaries and two-premium-theme allowance are enforced,,,,,
PKG-PRO-01,Pro limits,qa-pro,Configured Pro boundaries and watermark behavior are enforced,,,,,
PKG-OWN-01,Ownership,qa-owner,Unlimited limits do not create artificial rejection,,,,,
BILL-WH-01,Paddle webhook,qa-plus,Valid sandbox event applies once and replay is idempotent,,,,,
BILL-WH-02,Paddle webhook,qa-plus,Invalid signature is rejected and state is unchanged,,,,,
BILL-LIFE-01,Lifecycle,qa-grace,Past-due access follows configured grace period,,,,,
BILL-LIFE-02,Lifecycle,qa-expired,Expired plan safely falls back without deleting existing content,,,,,
MEDIA-01,Cloudinary,qa-free,Direct upload lands under photaaz/staging and database metadata matches,,,,,
EMAIL-01,Email,qa-free,Inquiry and account email arrive only in controlled staging inbox,,,,,
DOMAIN-01,Routing,qa-free,Staging hostname and tenant/custom-domain resolution behave like production,,,,,
SEO-01,SEO,qa-free,Unknown tenant and missing translation return real 404; canonical and alternates are correct,,,,,
RESTORE-01,Recovery,qa-admin,Staging database snapshot restore completes and smoke tests pass,,,,,
